match_id,batting_team,innings_total_runs,wickets_lost,winner,,,,
336008,Mumbai Indians,104,3,MUMBAI INDIANS,,,,
336008,Rajasthan Royals,103,10,MUMBAI INDIANS,,,,
336009,Chennai Super Kings,188,5,CHENNAI SUPER KINGS,,,,
336009,Delhi Daredevils,187,5,CHENNAI SUPER KINGS,,,,
336010,Kolkata Knight Riders,129,5,KOLKATA KNIGHT RIDERS,,,,
336010,Royal Challengers Bangalore,124,2,KOLKATA KNIGHT RIDERS,,,,
336011,Deccan Chargers,140,6,RAJASTHAN ROYALS,,,,
336011,Rajasthan Royals,141,2,RAJASTHAN ROYALS,,,,
336012,Mumbai Indians,126,1,MUMBAI INDIANS,,,,
336012,Royal Challengers Bangalore,122,8,MUMBAI INDIANS,,,,
336013,Chennai Super Kings,181,4,CHENNAI SUPER KINGS,,,,
336013,Kings XI Punjab,163,9,CHENNAI SUPER KINGS,,,,
336014,Deccan Chargers,181,7,KOLKATA KNIGHT RIDERS,,,,
336014,Kolkata Knight Riders,204,3,KOLKATA KNIGHT RIDERS,,,,
336015,Delhi Daredevils,156,6,RAJASTHAN ROYALS,,,,
336015,Rajasthan Royals,159,4,RAJASTHAN ROYALS,,,,
336016,Kings XI Punjab,144,1,KINGS XI PUNJAB,,,,
336016,Royal Challengers Bangalore,143,7,KINGS XI PUNJAB,,,,
336017,Delhi Daredevils,110,8,KOLKATA KNIGHT RIDERS,,,,
336017,Kolkata Knight Riders,133,5,KOLKATA KNIGHT RIDERS,,,,
336018,Chennai Super Kings,156,6,MUMBAI INDIANS,,,,
336018,Mumbai Indians,158,1,MUMBAI INDIANS,,,,
336019,Kings XI Punjab,221,2,KINGS XI PUNJAB,,,,
336019,Rajasthan Royals,180,7,KINGS XI PUNJAB,,,,
336020,Deccan Chargers,182,9,DELHI DAREDEVILS,,,,
336020,Delhi Daredevils,194,3,DELHI DAREDEVILS,,,,
336021,Kolkata Knight Riders,67,9,MUMBAI INDIANS,,,,
336021,Mumbai Indians,68,2,MUMBAI INDIANS,,,,
336022,Delhi Daredevils,118,4,KINGS XI PUNJAB,,,,
336022,Kings XI Punjab,94,3,KINGS XI PUNJAB,,,,
336023,Rajasthan Royals,197,1,RAJASTHAN ROYALS,,,,
336023,Royal Challengers Bangalore,132,9,RAJASTHAN ROYALS,,,,
336024,Deccan Chargers,153,6,MUMBAI INDIANS,,,,
336024,Mumbai Indians,178,7,MUMBAI INDIANS,,,,
336025,Chennai Super Kings,55,0,CHENNAI SUPER KINGS,,,,
336025,Kolkata Knight Riders,149,5,CHENNAI SUPER KINGS,,,,
336026,Delhi Daredevils,158,4,DELHI DAREDEVILS,,,,
336026,Royal Challengers Bangalore,154,5,DELHI DAREDEVILS,,,,
336027,Kolkata Knight Riders,147,7,RAJASTHAN ROYALS,,,,
336027,Rajasthan Royals,150,4,RAJASTHAN ROYALS,,,,
336028,Kings XI Punjab,189,4,KINGS XI PUNJAB,,,,
336028,Mumbai Indians,188,5,KINGS XI PUNJAB,,,,
336029,Chennai Super Kings,112,7,ROYAL CHALLENGERS BANGALORE,,,,
336029,Royal Challengers Bangalore,126,8,ROYAL CHALLENGERS BANGALORE,,,,
336031,Deccan Chargers,175,4,KINGS XI PUNJAB,,,,
336031,Kings XI Punjab,178,4,KINGS XI PUNJAB,,,,
336032,Delhi Daredevils,179,4,DELHI DAREDEVILS,,,,
336032,Mumbai Indians,176,7,DELHI DAREDEVILS,,,,
336033,Chennai Super Kings,201,6,RAJASTHAN ROYALS,,,,
336033,Rajasthan Royals,211,3,RAJASTHAN ROYALS,,,,
336034,Deccan Chargers,153,6,ROYAL CHALLENGERS BANGALORE,,,,
336034,Royal Challengers Bangalore,156,7,ROYAL CHALLENGERS BANGALORE,,,,
336035,Kings XI Punjab,174,5,KOLKATA KNIGHT RIDERS,,,,
336035,Kolkata Knight Riders,175,7,KOLKATA KNIGHT RIDERS,,,,
336036,Mumbai Indians,145,7,RAJASTHAN ROYALS,,,,
336036,Rajasthan Royals,146,3,RAJASTHAN ROYALS,,,,
336037,Chennai Super Kings,148,3,CHENNAI SUPER KINGS,,,,
336037,Deccan Chargers,147,7,CHENNAI SUPER KINGS,,,,
336038,Delhi Daredevils,87,9,RAJASTHAN ROYALS,,,,
336038,Rajasthan Royals,192,8,RAJASTHAN ROYALS,,,,
336039,Chennai Super Kings,116,1,CHENNAI SUPER KINGS,,,,
336039,Kings XI Punjab,112,7,CHENNAI SUPER KINGS,,,,
336040,Chennai Super Kings,163,5,RAJASTHAN ROYALS,,,,
336040,Rajasthan Royals,164,5,RAJASTHAN ROYALS,,,,
392181,Chennai Super Kings,146,7,MUMBAI INDIANS,,,,
392181,Mumbai Indians,165,6,MUMBAI INDIANS,,,,
392182,Rajasthan Royals,58,9,ROYAL CHALLENGERS BANGALORE,,,,
392182,Royal Challengers Bangalore,133,8,ROYAL CHALLENGERS BANGALORE,,,,
392183,Delhi Daredevils,58,0,DELHI DAREDEVILS,,,,
392183,Kings XI Punjab,104,5,DELHI DAREDEVILS,,,,
392184,Deccan Chargers,104,1,DECCAN CHARGERS,,,,
392184,Kolkata Knight Riders,101,9,DECCAN CHARGERS,,,,
392185,Chennai Super Kings,179,4,CHENNAI SUPER KINGS,,,,
392185,Royal Challengers Bangalore,87,9,CHENNAI SUPER KINGS,,,,
392186,Kings XI Punjab,158,5,KOLKATA KNIGHT RIDERS,,,,
392186,Kolkata Knight Riders,79,1,KOLKATA KNIGHT RIDERS,,,,
392188,Deccan Chargers,184,5,DECCAN CHARGERS,,,,
392188,Royal Challengers Bangalore,160,7,DECCAN CHARGERS,,,,
392189,Chennai Super Kings,180,6,DELHI DAREDEVILS,,,,
392189,Delhi Daredevils,189,5,DELHI DAREDEVILS,,,,
392190,Kolkata Knight Riders,165,8,RAJASTHAN ROYALS,,,,
392190,Rajasthan Royals,168,6,RAJASTHAN ROYALS,,,,
392191,Kings XI Punjab,173,2,KINGS XI PUNJAB,,,,
392191,Royal Challengers Bangalore,168,9,KINGS XI PUNJAB,,,,
392192,Deccan Chargers,168,8,DECCAN CHARGERS,,,,
392192,Mumbai Indians,156,7,DECCAN CHARGERS,,,,
392194,Delhi Daredevils,150,4,DELHI DAREDEVILS,,,,
392194,Royal Challengers Bangalore,149,6,DELHI DAREDEVILS,,,,
392195,Kings XI Punjab,139,4,KINGS XI PUNJAB,,,,
392195,Rajasthan Royals,112,7,KINGS XI PUNJAB,,,,
392196,Chennai Super Kings,165,6,DECCAN CHARGERS,,,,
392196,Deccan Chargers,169,4,DECCAN CHARGERS,,,,
392197,Kolkata Knight Riders,95,9,MUMBAI INDIANS,,,,
392197,Mumbai Indians,187,5,MUMBAI INDIANS,,,,
392198,Delhi Daredevils,143,7,RAJASTHAN ROYALS,,,,
392198,Rajasthan Royals,147,4,RAJASTHAN ROYALS,,,,
392199,Kolkata Knight Riders,139,6,ROYAL CHALLENGERS BANGALORE,,,,
392199,Royal Challengers Bangalore,143,5,ROYAL CHALLENGERS BANGALORE,,,,
392200,Kings XI Punjab,119,7,KINGS XI PUNJAB,,,,
392200,Mumbai Indians,116,7,KINGS XI PUNJAB,,,,
392201,Deccan Chargers,148,7,DELHI DAREDEVILS,,,,
392201,Delhi Daredevils,150,4,DELHI DAREDEVILS,,,,
392202,Chennai Super Kings,164,5,CHENNAI SUPER KINGS,,,,
392202,Rajasthan Royals,126,9,CHENNAI SUPER KINGS,,,,
392203,Kolkata Knight Riders,139,5,MUMBAI INDIANS,,,,
392203,Mumbai Indians,148,6,MUMBAI INDIANS,,,,
392204,Kings XI Punjab,137,6,ROYAL CHALLENGERS BANGALORE,,,,
392204,Royal Challengers Bangalore,145,9,ROYAL CHALLENGERS BANGALORE,,,,
392205,Deccan Chargers,141,5,RAJASTHAN ROYALS,,,,
392205,Rajasthan Royals,142,6,RAJASTHAN ROYALS,,,,
392206,Chennai Super Kings,163,9,CHENNAI SUPER KINGS,,,,
392206,Delhi Daredevils,145,8,CHENNAI SUPER KINGS,,,,
392207,Kings XI Punjab,154,4,KINGS XI PUNJAB,,,,
392207,Kolkata Knight Riders,153,3,KINGS XI PUNJAB,,,,
392208,Mumbai Indians,149,4,ROYAL CHALLENGERS BANGALORE,,,,
392208,Royal Challengers Bangalore,150,1,ROYAL CHALLENGERS BANGALORE,,,,
392209,Chennai Super Kings,178,3,CHENNAI SUPER KINGS,,,,
392209,Deccan Chargers,100,10,CHENNAI SUPER KINGS,,,,
392210,Kings XI Punjab,133,8,RAJASTHAN ROYALS,,,,
392210,Rajasthan Royals,211,4,RAJASTHAN ROYALS,,,,
392211,Delhi Daredevils,157,1,DELHI DAREDEVILS,,,,
392211,Kolkata Knight Riders,154,3,DELHI DAREDEVILS,,,,
392212,Deccan Chargers,145,5,DECCAN CHARGERS,,,,
392212,Mumbai Indians,126,8,DECCAN CHARGERS,,,,
392213,Rajasthan Royals,107,2,RAJASTHAN ROYALS,,,,
392213,Royal Challengers Bangalore,105,9,RAJASTHAN ROYALS,,,,
392214,Chennai Super Kings,185,3,CHENNAI SUPER KINGS,,,,
392214,Kings XI Punjab,174,3,CHENNAI SUPER KINGS,,,,
392215,Delhi Daredevils,118,3,DELHI DAREDEVILS,,,,
392215,Mumbai Indians,116,7,DELHI DAREDEVILS,,,,
392216,Deccan Chargers,168,4,KINGS XI PUNJAB,,,,
392216,Kings XI Punjab,169,5,KINGS XI PUNJAB,,,,
392217,Chennai Super Kings,141,3,CHENNAI SUPER KINGS,,,,
392217,Rajasthan Royals,140,6,CHENNAI SUPER KINGS,,,,
392218,Mumbai Indians,157,2,MUMBAI INDIANS,,,,
392218,Royal Challengers Bangalore,141,6,MUMBAI INDIANS,,,,
392219,Delhi Daredevils,125,3,DELHI DAREDEVILS,,,,
392219,Kolkata Knight Riders,123,8,DELHI DAREDEVILS,,,,
392220,Deccan Chargers,166,7,DECCAN CHARGERS,,,,
392220,Rajasthan Royals,113,7,DECCAN CHARGERS,,,,
392221,Kolkata Knight Riders,173,4,ROYAL CHALLENGERS BANGALORE,,,,
392221,Royal Challengers Bangalore,176,4,ROYAL CHALLENGERS BANGALORE,,,,
392222,Kings XI Punjab,119,6,MUMBAI INDIANS,,,,
392222,Mumbai Indians,122,2,MUMBAI INDIANS,,,,
392223,Deccan Chargers,161,9,DELHI DAREDEVILS,,,,
392223,Delhi Daredevils,173,6,DELHI DAREDEVILS,,,,
392224,Chennai Super Kings,129,8,ROYAL CHALLENGERS BANGALORE,,,,
392224,Royal Challengers Bangalore,132,7,ROYAL CHALLENGERS BANGALORE,,,,
392225,Mumbai Indians,143,7,RAJASTHAN ROYALS,,,,
392225,Rajasthan Royals,145,6,RAJASTHAN ROYALS,,,,
392226,Delhi Daredevils,120,8,KINGS XI PUNJAB,,,,
392226,Kings XI Punjab,123,4,KINGS XI PUNJAB,,,,
392227,Chennai Super Kings,151,3,CHENNAI SUPER KINGS,,,,
392227,Mumbai Indians,147,3,CHENNAI SUPER KINGS,,,,
392228,Deccan Chargers,166,2,DECCAN CHARGERS,,,,
392228,Kolkata Knight Riders,160,4,DECCAN CHARGERS,,,,
392229,Deccan Chargers,133,7,KINGS XI PUNJAB,,,,
392229,Kings XI Punjab,134,6,KINGS XI PUNJAB,,,,
392230,Delhi Daredevils,150,3,DELHI DAREDEVILS,,,,
392230,Rajasthan Royals,136,9,DELHI DAREDEVILS,,,,
392231,Chennai Super Kings,188,1,KOLKATA KNIGHT RIDERS,,,,
392231,Kolkata Knight Riders,189,2,KOLKATA KNIGHT RIDERS,,,,
392232,Delhi Daredevils,134,7,ROYAL CHALLENGERS BANGALORE,,,,
392232,Royal Challengers Bangalore,135,3,ROYAL CHALLENGERS BANGALORE,,,,
392233,Kolkata Knight Riders,102,5,KOLKATA KNIGHT RIDERS,,,,
392233,Rajasthan Royals,101,6,KOLKATA KNIGHT RIDERS,,,,
392234,Chennai Super Kings,116,7,CHENNAI SUPER KINGS,,,,
392234,Kings XI Punjab,92,8,CHENNAI SUPER KINGS,,,,
392235,Delhi Daredevils,166,6,DELHI DAREDEVILS,,,,
392235,Mumbai Indians,165,7,DELHI DAREDEVILS,,,,
392236,Deccan Chargers,158,5,ROYAL CHALLENGERS BANGALORE,,,,
392236,Royal Challengers Bangalore,170,4,ROYAL CHALLENGERS BANGALORE,,,,
392237,Deccan Chargers,154,4,DECCAN CHARGERS,,,,
392237,Delhi Daredevils,153,6,DECCAN CHARGERS,,,,
392238,Chennai Super Kings,146,5,ROYAL CHALLENGERS BANGALORE,,,,
392238,Royal Challengers Bangalore,149,4,ROYAL CHALLENGERS BANGALORE,,,,
392239,Deccan Chargers,143,6,DECCAN CHARGERS,,,,
392239,Royal Challengers Bangalore,137,9,DECCAN CHARGERS,,,,
419106,Deccan Chargers,150,7,KOLKATA KNIGHT RIDERS,,,,
419106,Kolkata Knight Riders,161,4,KOLKATA KNIGHT RIDERS,,,,
419107,Mumbai Indians,212,5,MUMBAI INDIANS,,,,
419107,Rajasthan Royals,208,4,MUMBAI INDIANS,,,,
419108,Delhi Daredevils,146,4,DELHI DAREDEVILS,,,,
419108,Kings XI Punjab,142,8,DELHI DAREDEVILS,,,,
419109,Kolkata Knight Riders,136,3,KOLKATA KNIGHT RIDERS,,,,
419109,Royal Challengers Bangalore,135,7,KOLKATA KNIGHT RIDERS,,,,
419110,Chennai Super Kings,159,9,DECCAN CHARGERS,,,,
419110,Deccan Chargers,190,1,DECCAN CHARGERS,,,,
419111,Delhi Daredevils,142,4,DELHI DAREDEVILS,,,,
419111,Rajasthan Royals,141,4,DELHI DAREDEVILS,,,,
419112,Kings XI Punjab,203,3,ROYAL CHALLENGERS BANGALORE,,,,
419112,Royal Challengers Bangalore,204,2,ROYAL CHALLENGERS BANGALORE,,,,
419113,Chennai Super Kings,164,3,CHENNAI SUPER KINGS,,,,
419113,Kolkata Knight Riders,109,9,CHENNAI SUPER KINGS,,,,
419114,Delhi Daredevils,120,8,MUMBAI INDIANS,,,,
419114,Mumbai Indians,218,6,MUMBAI INDIANS,,,,
419115,Rajasthan Royals,92,8,ROYAL CHALLENGERS BANGALORE,,,,
419115,Royal Challengers Bangalore,93,0,ROYAL CHALLENGERS BANGALORE,,,,
419116,Chennai Super Kings,190,4,CHENNAI SUPER KINGS,,,,
419116,Delhi Daredevils,185,6,CHENNAI SUPER KINGS,,,,
419117,Deccan Chargers,170,5,DECCAN CHARGERS,,,,
419117,Kings XI Punjab,164,7,DECCAN CHARGERS,,,,
419118,Kolkata Knight Riders,134,4,RAJASTHAN ROYALS,,,,
419118,Rajasthan Royals,168,6,RAJASTHAN ROYALS,,,,
419119,Mumbai Indians,151,9,ROYAL CHALLENGERS BANGALORE,,,,
419119,Royal Challengers Bangalore,155,2,ROYAL CHALLENGERS BANGALORE,,,,
419120,Deccan Chargers,171,5,DECCAN CHARGERS,,,,
419120,Delhi Daredevils,161,7,DECCAN CHARGERS,,,,
419121,Chennai Super Kings,145,8,KINGS XI PUNJAB,,,,
419121,Kings XI Punjab,146,7,KINGS XI PUNJAB,,,,
419122,Kolkata Knight Riders,155,3,MUMBAI INDIANS,,,,
419122,Mumbai Indians,156,3,MUMBAI INDIANS,,,,
419123,Chennai Super Kings,135,6,ROYAL CHALLENGERS BANGALORE,,,,
419123,Royal Challengers Bangalore,171,5,ROYAL CHALLENGERS BANGALORE,,,,
419124,Kings XI Punjab,152,9,RAJASTHAN ROYALS,,,,
419124,Rajasthan Royals,183,3,RAJASTHAN ROYALS,,,,
419125,Chennai Super Kings,180,2,MUMBAI INDIANS,,,,
419125,Mumbai Indians,181,5,MUMBAI INDIANS,,,,
419126,Deccan Chargers,148,6,RAJASTHAN ROYALS,,,,
419126,Rajasthan Royals,151,1,RAJASTHAN ROYALS,,,,
419127,Kings XI Punjab,144,6,KOLKATA KNIGHT RIDERS,,,,
419127,Kolkata Knight Riders,183,5,KOLKATA KNIGHT RIDERS,,,,
419128,Delhi Daredevils,183,2,DELHI DAREDEVILS,,,,
419128,Royal Challengers Bangalore,166,6,DELHI DAREDEVILS,,,,
419129,Chennai Super Kings,160,4,RAJASTHAN ROYALS,,,,
419129,Rajasthan Royals,177,6,RAJASTHAN ROYALS,,,,
419130,Deccan Chargers,131,10,MUMBAI INDIANS,,,,
419130,Mumbai Indians,172,7,MUMBAI INDIANS,,,,
419131,Delhi Daredevils,177,4,DELHI DAREDEVILS,,,,
419131,Kolkata Knight Riders,137,8,DELHI DAREDEVILS,,,,
419132,Kings XI Punjab,163,8,MUMBAI INDIANS,,,,
419132,Mumbai Indians,164,6,MUMBAI INDIANS,,,,
419133,Chennai Super Kings,162,5,CHENNAI SUPER KINGS,,,,
419133,Royal Challengers Bangalore,161,3,CHENNAI SUPER KINGS,,,,
419134,Delhi Daredevils,188,5,DELHI DAREDEVILS,,,,
419134,Rajasthan Royals,121,8,DELHI DAREDEVILS,,,,
419135,Deccan Chargers,157,5,KOLKATA KNIGHT RIDERS,,,,
419135,Kolkata Knight Riders,181,6,KOLKATA KNIGHT RIDERS,,,,
419136,Kings XI Punjab,181,4,ROYAL CHALLENGERS BANGALORE,,,,
419136,Royal Challengers Bangalore,184,3,ROYAL CHALLENGERS BANGALORE,,,,
419137,Chennai Super Kings,246,4,CHENNAI SUPER KINGS,,,,
419137,Rajasthan Royals,223,5,CHENNAI SUPER KINGS,,,,
419138,Deccan Chargers,115,9,MUMBAI INDIANS,,,,
419138,Mumbai Indians,178,5,MUMBAI INDIANS,,,,
419139,Kings XI Punjab,204,2,KINGS XI PUNJAB,,,,
419139,Kolkata Knight Riders,200,3,KINGS XI PUNJAB,,,,
419140,Delhi Daredevils,184,3,DELHI DAREDEVILS,,,,
419140,Royal Challengers Bangalore,147,9,DELHI DAREDEVILS,,,,
419141,Deccan Chargers,157,9,RAJASTHAN ROYALS,,,,
419141,Rajasthan Royals,159,9,RAJASTHAN ROYALS,,,,
419142,Chennai Super Kings,165,4,CHENNAI SUPER KINGS,,,,
419142,Mumbai Indians,141,8,CHENNAI SUPER KINGS,,,,
419143,Kings XI Punjab,153,5,RAJASTHAN ROYALS,,,,
419143,Rajasthan Royals,157,1,RAJASTHAN ROYALS,,,,
419144,Delhi Daredevils,167,6,KOLKATA KNIGHT RIDERS,,,,
419144,Kolkata Knight Riders,181,2,KOLKATA KNIGHT RIDERS,,,,
419145,Deccan Chargers,186,3,DECCAN CHARGERS,,,,
419145,Royal Challengers Bangalore,184,6,DECCAN CHARGERS,,,,
419146,Kings XI Punjab,158,4,KINGS XI PUNJAB,,,,
419146,Mumbai Indians,154,8,KINGS XI PUNJAB,,,,
419147,Chennai Super Kings,138,7,DECCAN CHARGERS,,,,
419147,Deccan Chargers,139,4,DECCAN CHARGERS,,,,
419148,Kolkata Knight Riders,160,7,ROYAL CHALLENGERS BANGALORE,,,,
419148,Royal Challengers Bangalore,162,3,ROYAL CHALLENGERS BANGALORE,,,,
419149,Delhi Daredevils,111,8,KINGS XI PUNJAB,,,,
419149,Kings XI Punjab,112,3,KINGS XI PUNJAB,,,,
419150,Mumbai Indians,174,5,MUMBAI INDIANS,,,,
419150,Rajasthan Royals,137,5,MUMBAI INDIANS,,,,
419151,Deccan Chargers,151,5,DECCAN CHARGERS,,,,
419151,Royal Challengers Bangalore,138,9,DECCAN CHARGERS,,,,
419152,Delhi Daredevils,144,5,MUMBAI INDIANS,,,,
419152,Mumbai Indians,183,4,MUMBAI INDIANS,,,,
419153,Chennai Super Kings,143,1,CHENNAI SUPER KINGS,,,,
419153,Kolkata Knight Riders,139,8,CHENNAI SUPER KINGS,,,,
419154,Rajasthan Royals,130,5,ROYAL CHALLENGERS BANGALORE,,,,
419154,Royal Challengers Bangalore,132,4,ROYAL CHALLENGERS BANGALORE,,,,
419155,Chennai Super Kings,112,8,DELHI DAREDEVILS,,,,
419155,Delhi Daredevils,113,4,DELHI DAREDEVILS,,,,
419156,Deccan Chargers,178,5,DECCAN CHARGERS,,,,
419156,Kings XI Punjab,174,3,DECCAN CHARGERS,,,,
419157,Mumbai Indians,191,4,MUMBAI INDIANS,,,,
419157,Royal Challengers Bangalore,134,9,MUMBAI INDIANS,,,,
419158,Kolkata Knight Riders,133,2,KOLKATA KNIGHT RIDERS,,,,
419158,Rajasthan Royals,132,8,KOLKATA KNIGHT RIDERS,,,,
419159,Chennai Super Kings,195,4,CHENNAI SUPER KINGS,,,,
419159,Kings XI Punjab,192,3,CHENNAI SUPER KINGS,,,,
419160,Deccan Chargers,145,6,DECCAN CHARGERS,,,,
419160,Delhi Daredevils,134,6,DECCAN CHARGERS,,,,
419161,Kolkata Knight Riders,135,1,KOLKATA KNIGHT RIDERS,,,,
419161,Mumbai Indians,133,7,KOLKATA KNIGHT RIDERS,,,,
419162,Mumbai Indians,184,4,MUMBAI INDIANS,,,,
419162,Royal Challengers Bangalore,149,8,MUMBAI INDIANS,,,,
419163,Chennai Super Kings,142,6,CHENNAI SUPER KINGS,,,,
419163,Deccan Chargers,104,10,CHENNAI SUPER KINGS,,,,
419164,Deccan Chargers,82,10,ROYAL CHALLENGERS BANGALORE,,,,
419164,Royal Challengers Bangalore,86,1,ROYAL CHALLENGERS BANGALORE,,,,
419165,Chennai Super Kings,168,4,CHENNAI SUPER KINGS,,,,
419165,Mumbai Indians,146,6,CHENNAI SUPER KINGS,,,,
501198,Chennai Super Kings,153,4,CHENNAI SUPER KINGS,,,,
501198,Kolkata Knight Riders,151,5,CHENNAI SUPER KINGS,,,,
501199,Deccan Chargers,137,8,RAJASTHAN ROYALS,,,,
501199,Rajasthan Royals,141,2,RAJASTHAN ROYALS,,,,
501200,Kochi Tuskers Kerala,161,5,ROYAL CHALLENGERS BANGALORE,,,,
501200,Royal Challengers Bangalore,162,4,ROYAL CHALLENGERS BANGALORE,,,,
501201,Delhi Daredevils,95,8,MUMBAI INDIANS,,,,
501201,Mumbai Indians,99,1,MUMBAI INDIANS,,,,
501202,Kings XI Punjab,112,7,PUNE WARRIORS,,,,
501202,Pune Warriors,113,3,PUNE WARRIORS,,,,
501203,Deccan Chargers,154,7,KOLKATA KNIGHT RIDERS,,,,
501203,Kolkata Knight Riders,163,4,KOLKATA KNIGHT RIDERS,,,,
501204,Delhi Daredevils,151,6,RAJASTHAN ROYALS,,,,
501204,Rajasthan Royals,152,4,RAJASTHAN ROYALS,,,,
501205,Mumbai Indians,143,1,MUMBAI INDIANS,,,,
501205,Royal Challengers Bangalore,140,4,MUMBAI INDIANS,,,,
501206,Chennai Super Kings,188,4,KINGS XI PUNJAB,,,,
501206,Kings XI Punjab,193,3,KINGS XI PUNJAB,,,,
501207,Kochi Tuskers Kerala,148,6,PUNE WARRIORS,,,,
501207,Pune Warriors,151,5,PUNE WARRIORS,,,,
501208,Deccan Chargers,175,5,DECCAN CHARGERS,,,,
501208,Royal Challengers Bangalore,142,9,DECCAN CHARGERS,,,,
501209,Kolkata Knight Riders,160,0,KOLKATA KNIGHT RIDERS,,,,
501209,Rajasthan Royals,159,4,KOLKATA KNIGHT RIDERS,,,,
501210,Kochi Tuskers Kerala,184,2,KOCHI TUSKERS KERALA,,,,
501210,Mumbai Indians,182,1,KOCHI TUSKERS KERALA,,,,
501211,Chennai Super Kings,183,5,CHENNAI SUPER KINGS,,,,
501211,Royal Challengers Bangalore,162,7,CHENNAI SUPER KINGS,,,,
501212,Deccan Chargers,165,8,KINGS XI PUNJAB,,,,
501212,Kings XI Punjab,166,2,KINGS XI PUNJAB,,,,
501213,Delhi Daredevils,190,6,DELHI DAREDEVILS,,,,
501213,Pune Warriors,187,5,DELHI DAREDEVILS,,,,
501214,Kolkata Knight Riders,85,2,KOLKATA KNIGHT RIDERS,,,,
501214,Rajasthan Royals,81,8,KOLKATA KNIGHT RIDERS,,,,
501215,Chennai Super Kings,131,3,KOCHI TUSKERS KERALA,,,,
501215,Kochi Tuskers Kerala,135,3,KOCHI TUSKERS KERALA,,,,
501216,Deccan Chargers,168,4,DECCAN CHARGERS,,,,
501216,Delhi Daredevils,152,7,DECCAN CHARGERS,,,,
